Geography,Total Population,Land Area in Square Miles,Population Per Square Mile (Land Area),Unnamed: 4,Geoid,geographic type
Humboldt Hill CDP,3498,4.155320024648763,841.8124185984149,,1600000US0634928,Rural
Hydesville CDP,1244,7.499711581675282,165.873045443451,,1600000US0636126,Rural
Indianola CDP,791,1.411952101708579,560.2173041442583,,1600000US0636420,Rural
Kep'el CDP,76,3.645821525041815,20.84578180198449,,1600000US0638177,Rural
Loleta CDP,828,2.123888604889289,389.8509545622619,,1600000US0642328,Rural
McKinleyville CDP,16262,20.88164346707398,778.7701205435196,,1600000US0644910,Suburban
Manila CDP,798,0.6969684801628424,1144.958520668757,,1600000US0645414,Rural
Miranda CDP,441,1.493553251984179,295.2690166314013,,1600000US0648060,Rural
Myers Flat CDP,90,0.4321560563214965,208.2581018673628,,1600000US0650146,Rural
Myrtletown CDP,4882,2.099074976409157,2325.786384415641,,1600000US0650188,Rural
Orick CDP,328,4.745511562215732,69.11794349245103,,1600000US0654218,Rural
Phillipsville CDP,124,0.7145712644228468,173.5306276276779,,1600000US0656854,Rural
Pine Hills CDP,3186,10.11625497878755,314.9386810317279,,1600000US0657204,Rural
Redcrest CDP,61,0.5981456284739544,101.9818537429237,,1600000US0659906,Rural
Redway CDP,1247,1.250774134860857,996.9825608351931,,1600000US0660088,Rural
Rio Dell city,3379,2.281080838984582,1481.315323092256,,1600000US0660900,Rural
Samoa CDP,229,0.8365309028458819,273.7495999501524,,1600000US0664392,Rural
Scotia CDP,681,0.7460463137280945,912.8119628350561,,1600000US0670518,Rural
Shelter Cove CDP,803,5.829374499032428,137.7506283278392,,1600000US0671372,Rural
Trinidad city,307,0.4848864164621612,633.1379671139069,,1600000US0680448,Rural
Wautec CDP,48,2.306509528229475,20.81066625241553,,1600000US0683730,Rural
Weitchpec CDP,112,3.830034733751662,29.24255464657153,,1600000US0683906,Rural
Weott CDP,219,0.7514606245279901,291.432435515246,,1600000US0684004,Rural
Westhaven-Moonstone CDP,1187,8.094089239023502,146.6502240026209,,1600000US0684385,Rural
Willow Creek CDP,1720,30.30956707135323,56.74775875059068,,1600000US0685642,Rural
Imperial County,179702,4175.538752303099,43.03684162933032,,0500000US06025,Urban
Bombay Beach CDP,231,0.6637501795375114,348.0225047335678,,1600000US0607372,Rural
Brawley city,26416,8.117537224110691,3254.188957894675,,1600000US0608058,Suburban
Calexico city,38633,8.619483179072644,4482.055269136968,,1600000US0609710,Suburban
Calipatria city,6515,3.698557290612929,1761.497656541728,,1600000US0609878,Suburban
Desert Shores CDP,1128,0.6985792984369039,1614.705735660848,,1600000US0619024,Rural
El Centro city,44322,11.84243170238627,3742.643497033558,,1600000US0621782,Suburban
El Centro Naval Air Facility CDP,280,4.191311311094878,66.80486826612191,,1600000US0621788,Rural
Heber CDP,6896,1.435621323342039,4803.495105482644,,1600000US0633084,Suburban
Holtville city,5605,1.153686040244202,4858.340834923844,,1600000US0634246,Suburban
Imperial city,20263,6.290490148989107,3221.211625815247,,1600000US0636280,Suburban
Niland CDP,756,0.401631204468901,1882.323862259907,,1600000US0651392,Rural
Ocotillo CDP,215,8.86465767408961,24.25361563914878,,1600000US0653378,Rural
Palo Verde CDP,152,0.5799690963819137,262.0829298461567,,1600000US0655422,Rural
Salton City CDP,5155,21.43711862757665,240.4707502699837,,1600000US0664294,Suburban
Salton Sea Beach CDP,508,0.3012427084604253,1686.347870779209,,1600000US0664308,Rural
Seeley CDP,1729,1.413191875792475,1223.47151127686,,1600000US0670798,Rural
